facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,015601302,ACACIA CREEK - UNION CITY,"MASONIC HOMES CAL & ACACIA CREEK, MASONIC SEN LIV",CHUCK MAJOR,(510) 441-3700,34400 MISSION BLVD.,UNION CITY,CA,94587,ALAMEDA,15,376,LICENSED,5/20/2010,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,216801686,ALDERSLY,"ALDERSLY/LIFE CARE SERVICES,LLC",MIKE SHARKEY,(415) 453-7425,326 MISSION AVENUE,SAN RAFAEL,CA,94901,MARIN,21,137,LICENSED,11/5/2004,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198603605,ARARAT GARDENS,"ARARAT HOME OF LOS ANGELES, INC.","KESHISHYAN, VARSENIK",(818) 244-7219,1230 EAST WINDSOR ROAD,GLENDALE,CA,91205,LOS ANGELES,31,175,LICENSED,3/1/2023,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191222081,ARARAT HOME OF LOS ANGELES,"ARARAT HOME OF LOS ANGELES, INC.",RITA NORAVIAN,(818) 365-3000,15105 MISSION HILLS RD.,MISSION HILLS,CA,91345,LOS ANGELES,31,186,LICENSED,6/26/1992,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803905,ARBOL RESIDENCES OF SANTA ROSA,LCS SANTA ROSA LLC; LIFE CARE SERVICES LLC,"TAPIA, KARINA",(707) 566-8600,300 FOUNTAINGROVE PARKWAY,SANTA ROSA,CA,95403,SONOMA,21,152,CLOSED,5/7/2020,1/28/2025,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191500146,ARTESIA CHRISTIAN HOME,"ARTESIA CHRISTIAN HOME, INC.",MICHELLE ROBISON,(562) 865-5218,11614 EAST 183RD STREET,ARTESIA,CA,90701,LOS ANGELES,28,143,LICENSED,7/1/1971,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197802543,ATHERTON BAPTIST HOMES,ATHERTON BAPTIST HOMES,ANGELA LEE,(626) 289-4178,214 SOUTH ATLANTIC BLVD.,ALHAMBRA,CA,91801,LOS ANGELES,28,518,LICENSED,3/31/1999,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700369,ATTERDAG VILLAGE OF SOLVANG,"SOLVANG LUTHERAN HOME, INC.",CHRIS PARKER,(805) 688-3263,636 N ATTERDAG ROAD,SOLVANG,CA,93463,SANTA BARBARA,29,188,LICENSED,5/28/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198320478,AVOCET AT PLAYA VISTA,HSH PLAYA MANAGEMENT CA LLC; SRG PLAYA MGMT LLC,"MCGEVNA, KEITH M",(424) 216-7788,12490 FIELDING CIRCLE,PLAYA VISTA,CA,90094,LOS ANGELES,11,286,LICENSED,10/1/2024,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603618,BAYSHIRE CARLSBAD,S-H OPCO CARLSBAD; CAMINO REAL CARE LLC,"HIGHTOWER, SASHA",(760) 720-9898,3140 EL CAMINO REAL,CARLSBAD,CA,92008,SAN DIEGO,08,125,CLOSED,8/29/2014,6/3/2021,05252025
