source_region,country,service_name,provider_name,provider_color,care_type,residential_places,address,state,suburb,postcode,organisation_type,remoteness,acpr,lga,county,metro_area,source_dataset,source_status,cms_certification_number,legal_business_name,chain_name,overall_rating,average_residents_per_day,latitude,longitude,funding_2024_25
Australia,Australia,Dellacourt,Lutheran Aged Care Albury,#258ec1,Residential,122,"42 NICHOLSON Place, WEST ALBURY, NSW, 2640",NSW,WEST ALBURY,2640,Charitable,Inner Regional Australia,Riverina/Murray,Albury,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-36.0754009999999,146.890895999999,13628406.71
Australia,Australia,BaptistCare Maranoa Centre - Alstonville,BaptistCare NSW & ACT,#af25c1,Residential,90,"15 The Avenue -, ALSTONVILLE, NSW, 2477",NSW,ALSTONVILLE,2477,Charitable,Inner Regional Australia,Far North Coast,Ballina,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-28.840536,153.436633999999,10456454.14
Australia,Australia,Uniting Autumn Lodge Butler Street,The Uniting Church in Australia Property Trust (NSW),#d88d31,Residential,64,"50 Butler Street, ARMIDALE, NSW, 2350",NSW,ARMIDALE,2350,Religious,Inner Regional Australia,New England,Armidale,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-30.503834,151.658369999999,6886220.28
Australia,Australia,Macquarie Lodge Aged Care Plus Centre,The Salvation Army (NSW) Property Trust,#c12538,Residential,130,"171 Wollongong Road, ARNCLIFFE, NSW, 2205",NSW,ARNCLIFFE,2205,Charitable,Major Cities of Australia,South East Sydney,Bayside (NSW),,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.9396559999999,151.134856,15578023.52
Australia,Australia,Ashfield Terrace Care Community,DPG Services Pty Ltd,#ccde4f,Residential,135,"8-10 Clissold Street, ASHFIELD, NSW, 2131",NSW,ASHFIELD,2131,Private Incorporated Body,Major Cities of Australia,Inner West,Inner West,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.8959499999999,151.127893999999,13956389.01
Australia,Australia,Crowley Retirement Village,The Trustees of the Roman Catholic Church for the Diocese of Lismore,#d83168,Residential,77,"154 Cherry Street, BALLINA, NSW, 2478",NSW,BALLINA,2478,Religious,Inner Regional Australia,Far North Coast,Ballina,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-28.85369,153.569384,8127629.81
Australia,Australia,Murray Haven Hostel,Murray Haven Homes Limited,#4fb4de,Residential,55,"98 Punt Road, BARHAM, NSW, 2732",NSW,BARHAM,2732,Community Based,Outer Regional Australia,Riverina/Murray,Murray River,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-35.623145,144.133186999999,6152095.92
Australia,Australia,Richardson House,Barraba and District Retirement Homes Association Incorporated,#c1254a,Residential,21,"24 Gotha Street, BARRABA, NSW, 2347",NSW,BARRABA,2347,Community Based,Outer Regional Australia,New England,Tamworth,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-30.382859,150.605163,2440632.83
Australia,Australia,Weeroona Aged Care Plus Centre,The Salvation Army (NSW) Property Trust,#c12538,Residential,104,"14 Trebartha Street, BASS HILL, NSW, 2197",NSW,BASS HILL,2197,Charitable,Major Cities of Australia,South West Sydney,Canterbury-Bankstown,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.8995719999999,151.003470999999,13222027.38
Australia,Australia,Uniting Nareen Gardens Bateau Bay,The Uniting Church in Australia Property Trust (NSW),#d88d31,Residential,195,"5 Yakalla Street, BATEAU BAY, NSW, 2261",NSW,BATEAU BAY,2261,Religious,Major Cities of Australia,Central Coast,Central Coast (NSW),,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.3742799999999,151.479367999999,18360511.22
