service_name,provider_name,state,suburb,address,residential_places,verification_status,official_service_list_current_at,star_ratings_extract,notes
Dellacourt,Lutheran Aged Care Albury,NSW,WEST ALBURY,"42 NICHOLSON Place, WEST ALBURY, NSW, 2640",122,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
BaptistCare Maranoa Centre - Alstonville,BaptistCare NSW & ACT,NSW,ALSTONVILLE,"15 The Avenue -, ALSTONVILLE, NSW, 2477",90,service_location_match_provider_changed,30 June 2025,February 2026,"Service name, suburb and state match; provider name differs in Star Ratings."
Uniting Autumn Lodge Butler Street,The Uniting Church in Australia Property Trust (NSW),NSW,ARMIDALE,"50 Butler Street, ARMIDALE, NSW, 2350",64,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
Macquarie Lodge Aged Care Plus Centre,The Salvation Army (NSW) Property Trust,NSW,ARNCLIFFE,"171 Wollongong Road, ARNCLIFFE, NSW, 2205",130,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
Ashfield Terrace Care Community,DPG Services Pty Ltd,NSW,ASHFIELD,"8-10 Clissold Street, ASHFIELD, NSW, 2131",135,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
Crowley Retirement Village,The Trustees of the Roman Catholic Church for the Diocese of Lismore,NSW,BALLINA,"154 Cherry Street, BALLINA, NSW, 2478",77,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
Murray Haven Hostel,Murray Haven Homes Limited,NSW,BARHAM,"98 Punt Road, BARHAM, NSW, 2732",55,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
Richardson House,Barraba and District Retirement Homes Association Incorporated,NSW,BARRABA,"24 Gotha Street, BARRABA, NSW, 2347",21,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
Weeroona Aged Care Plus Centre,The Salvation Army (NSW) Property Trust,NSW,BASS HILL,"14 Trebartha Street, BASS HILL, NSW, 2197",104,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
Uniting Nareen Gardens Bateau Bay,The Uniting Church in Australia Property Trust (NSW),NSW,BATEAU BAY,"5 Yakalla Street, BATEAU BAY, NSW, 2261",195,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
Southern Cross Care Reynolds Court Residential Aged Care,Southern Cross Care (NSW & ACT) Limited,NSW,BATEAU BAY,"7 Bias Avenue, BATEAU BAY, NSW, 2261",80,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
Bupa Bateau Bay,Bupa Aged Care Australia Pty Ltd,NSW,BATEAU BAY,"17 Bias Avenue, BATEAU BAY, NSW, 2261",101,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
RFBI Bellingen Masonic Village - JJ,Royal Freemasons' Benevolent Institution,NSW,BELLINGEN,"15-23 Watson Street, BELLINGEN, NSW, 2454",54,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
Uniting Narla Belmont North,The Uniting Church in Australia Property Trust (NSW),NSW,BELMONT NORTH,"21 Lentara Road, BELMONT NORTH, NSW, 2280",100,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
St Elizabeth Home,St Elizabeth Home,NSW,DEAN PARK,"1 Symonds Road, DEAN PARK, NSW, 2761",114,confirmed_in_feb_2026_star_ratings,30 June 2025,February 2026,"Exact service, provider, suburb and state match."
